Unnamed: 0,building_id,registration_id,borough,house_number,street_name,postcode,of_dwelling_units,infested_dwelling_unit_count,eradicated_unit_count,re_infested_dwelling_unit,filing_date,filing_period_start_date,filling_period_end_date,latitude,longitude,community_board,city_council_district,census_tract_2010,bin,bbl,nta,Year,Quarter,Month,Day,Season,Weekday,Is_Weekend,percent of units infested
276,219098,321832,BROOKLYN,490,CHAUNCEY STREET,11233.0,3,0,0,0,2022-04-28,2020-11-01,2021-10-31,40.682337,-73.912541,16,41,371,3041154.0,3015160030.0,Ocean Hill,2022,2,4,28,Spring,3,Weekday,0.0
277,17037,134647,MANHATTAN,121,EAST 82 STREET,10028.0,20,0,0,0,2019-01-21,2017-11-01,2018-11-30,40.777213,-73.958164,8,4,140,1047605.0,1015110011.0,Upper East Side-Carnegie Hill,2019,1,1,21,Winter,0,Weekday,0.0
278,523737,421680,QUEENS,94-50,111 STREET,11419.0,3,0,0,0,2023-01-11,2021-11-01,2022-10-31,40.691289000000005,-73.834424,9,28,118,4197442.0,4093960027.0,South Richmond Hill,2023,1,1,11,Winter,2,Weekday,0.0
279,39754,116402,MANHATTAN,105,WEST 127 STREET,10027.0,16,0,0,0,2023-06-19,2021-11-01,2022-10-31,40.809309999999996,-73.945074,10,9,224,1057905.0,1019120024.0,Harlem (North),2023,2,6,19,Summer,0,Weekday,0.0
280,51786,208413,BRONX,3830,BRONX BOULEVARD,10467.0,49,0,0,0,2019-12-18,2018-11-01,2019-10-31,40.88563,-73.866055,12,12,394,2057548.0,2046530041.0,Williamsbridge-Olinville,2019,4,12,18,Winter,2,Weekday,0.0
281,5823,109077,MANHATTAN,2228,AMSTERDAM AVENUE,10032.0,35,1,1,0,2023-06-19,2021-11-01,2022-10-31,40.841451,-73.935773,12,10,253,1063054.0,1021270046.0,Washington Heights (South),2023,2,6,19,Summer,0,Weekday,2.857142857142857
282,704842,407940,QUEENS,1830,WOODBINE STREET,11385.0,6,0,0,0,2021-07-20,2019-11-01,2020-10-31,40.702882,-73.906412,5,34,549,4082678.0,4034590030.0,Ridgewood,2021,3,7,20,Summer,1,Weekday,0.0
283,59161,211456,BRONX,2083,CRESTON AVENUE,10453.0,25,1,1,0,2021-04-16,2019-11-01,2020-10-31,40.85367,-73.904002,5,14,241,2013843.0,2031690051.0,Mount Hope,2021,2,4,16,Spring,4,Weekday,4.0
284,234509,308129,BROOKLYN,182,DRIGGS AVENUE,11222.0,5,0,0,0,2022-04-21,2020-11-01,2021-10-31,40.722936,-73.945711,1,33,571,3066947.0,3026840035.0,Greenpoint,2022,2,4,21,Spring,3,Weekday,0.0
285,502604,417128,QUEENS,53-12,92 STREET,11373.0,3,0,0,0,2023-09-08,2021-11-01,2022-10-31,40.738538,-73.870886,4,25,457,4045867.0,4018550037.0,Elmhurst,2023,3,9,8,Fall,4,Weekday,0.0
286,393471,353957,BROOKLYN,1970,WEST 11 STREET,11223.0,3,0,0,0,2021-04-26,2019-11-01,2020-10-31,40.599078000000006,-73.982809,11,43,406,3189810.0,3070770032.0,Gravesend (West),2021,2,4,26,Spring,0,Weekday,0.0
287,304,135163,MANHATTAN,168,1 AVENUE,10009.0,4,0,0,0,2019-06-29,2017-11-01,2018-11-30,40.728961,-73.98428,3,2,34,1005930.0,1004380003.0,East Village,2019,2,6,29,Summer,5,Weekend,0.0
288,638496,406367,QUEENS,1734,BLEECKER STREET,11385.0,6,0,0,0,2021-12-03,2020-11-01,2021-10-31,40.704314000000004,-73.912087,5,34,545,4082080.0,4034370023.0,Ridgewood,2021,4,12,3,Winter,4,Weekday,0.0
289,63536,225004,BRONX,444,EAST 147 STREET,10455.0,16,0,0,0,2021-12-03,2020-11-01,2021-10-31,40.814069,-73.917101,1,8,43,2091094.0,2022910027.0,Mott Haven-Port Morris,2021,4,12,3,Winter,4,Weekday,0.0
290,12187,127290,MANHATTAN,104,EAST 17 STREET,10003.0,5,0,0,0,2019-01-28,2017-11-01,2018-11-30,40.73635,-73.988543,5,2,50,1017838.0,1008720074.0,Gramercy,2019,1,1,28,Winter,0,Weekday,0.0
291,2314,138239,MANHATTAN,585,3 AVENUE,10016.0,4,0,0,0,2022-02-16,2020-11-01,2021-10-31,40.748472,-73.976119,6,4,78,1020350.0,1009190004.0,Murray Hill-Kips Bay,2022,1,2,16,Winter,2,Weekday,0.0
292,213417,374174,BROOKLYN,500,BRIGHTWATER COURT,11235.0,193,0,0,0,2021-12-06,2020-11-01,2021-10-31,40.575745,-73.96221700000001,13,48,36002,3245104.0,3086900091.0,Brighton Beach,2021,4,12,6,Winter,0,Weekday,0.0
293,16038,110606,MANHATTAN,171,EAST 74 STREET,10021.0,9,0,0,0,2021-11-16,2019-11-01,2020-10-31,40.771417,-73.96045600000001,8,4,128,1043087.0,1014090031.0,Upper East Side-Carnegie Hill,2021,4,11,16,Fall,1,Weekday,0.0
